File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Replicas.mkv,Replicas,1.06,.mkv,4154916,Replicas,2018,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rescue.Dawn.2006.mp4,Rescue Dawn 2006,0.78,.mp4,0462504,Rescue Dawn,2006,"['Adventure', 'Biography', 'War']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Reservoir Dogs.1992.mp4,Reservoir Dogs 1992,0.62,.mp4,0105236,Reservoir Dogs,1992,"['Crime', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Resident Evil Damnation 2012.mp4,Resident Evil Damnation 2012,0.33,.mp4,1753496,Resident Evil: Damnation,2012,"['Animation', 'Action', 'Horror', 'Sci-Fi', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rest Stop Don't Look Back[2008].avi,Rest Stop Don'T Look Back[2008],0.68,.avi,0995863,Rest Stop: Don't Look Back,2008,"['Horror', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rest.Stop.2006.Unrated.Edition.avi,Rest Stop 2006 Unrated Edition,0.68,.avi,8965324,Rest Stop (2006),2018,['Comedy'],Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Revenge of the Green Dragons 2014.mkv,Revenge Of The Green Dragons 2014,0.24,.mkv,1396523,Revenge of the Green Dragons,2014,"['Action', 'Crime', 'Drama']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Revolver[2005].avi,Revolver[2005],0.68,.avi,0365686,Revolver,2005,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Richie (2018).mkv,Richie (2018),0.75,.mkv,9470628,Richie Beyond,2018,"['Animation', 'Short']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Righteous.Kill[2008].avi,Righteous Kill[2008],0.69,.avi,1034331,Righteous Kill,2008,"['Crime', 'Mystery', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rise.of.the.Guardians.2012.mp4,Rise Of The Guardians 2012,1.5,.mp4,1446192,Rise of the Guardians,2012,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rise.of.the.Planet.of.the.Apes.2011.avi,Rise Of The Planet Of The Apes 2011,1.37,.avi,1318514,Rise of the Planet of the Apes,2011,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Road to Paloma (2014).mkv,Road To Paloma (2014),0.24,.mkv,2386285,Road to Paloma,2014,"['Drama', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Road To Perdition.avi,Road To Perdition,0.68,.avi,0257044,Road to Perdition,2002,"['Crime', 'Drama', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Road Trip (2000).mkv,Road Trip (2000),0.66,.mkv,0215129,Road Trip,2000,['Comedy'],Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Road.Games.2015.mkv,Road Games 2015,0.78,.mkv,2929652,Road Games,2015,"['Drama', 'Horror', 'Mystery', 'Thriller']",Eng02
