SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
PVRINOX,1399.0,1419.8,1388.3,1410.3,1309,6466009,-435083,26-FEB-2024
RAMCOCEM,873.8,877.4,869.6,872.5,3012,3433150,-384200,26-FEB-2024
RBLBANK,268.0,274.8,267.0,273.55,1893,63340000,-3907500,26-FEB-2024
RECLTD,463.45,466.75,459.45,460.5,12685,42982000,-608000,26-FEB-2024
RELIANCE,2988.65,2993.45,2968.75,2977.95,79282,38566000,-8750,26-FEB-2024
SAIL,127.55,127.7,123.75,124.25,489,153160000,-3912000,26-FEB-2024
SBICARD,736.95,737.0,729.1,731.05,19069,24649600,-3013600,26-FEB-2024
SBILIFE,1514.4,1550.9,1514.4,1546.6,8294,7443750,-33750,26-FEB-2024
SBIN,755.85,766.1,753.6,759.75,48853,103965000,-2062500,26-FEB-2024
SHREECEM,26435.7,26451.75,26025.7,26139.85,5236,258375,-400,26-FEB-2024
SHRIRAMFIN,2445.6,2532.2,2445.6,2483.85,18920,6999300,7800,26-FEB-2024
SIEMENS,4540.0,4589.7,4497.55,4561.4,5423,1173750,-29700,26-FEB-2024
SRF,2398.6,2415.8,2375.0,2399.35,5725,4220625,-9750,26-FEB-2024
SUNPHARMA,1555.6,1564.55,1550.85,1557.35,8183,19886300,298200,26-FEB-2024
SUNTV,644.7,648.75,632.65,634.3,5049,6855000,658500,26-FEB-2024
SYNGENE,741.25,743.25,731.05,732.2,4047,5321000,-259000,26-FEB-2024
TATACHEM,979.55,985.0,964.35,966.65,20657,13873200,-1682450,26-FEB-2024
TATACOMM,1824.55,1891.2,1815.4,1868.35,15614,7125000,-300000,26-FEB-2024
TATACONSUM,1154.9,1181.1,1151.3,1178.45,10383,12392100,902700,26-FEB-2024
TATAMOTORS,935.4,943.4,931.5,936.55,21007,68388600,1429275,26-FEB-2024
TATAPOWER,379.0,381.9,378.05,378.9,11045,92778750,-2254500,26-FEB-2024
TATASTEEL,145.75,146.0,142.15,142.45,20008,213383500,6391000,26-FEB-2024
TCS,4037.1,4055.5,3988.15,4007.35,42838,12693100,295400,26-FEB-2024
TECHM,1318.1,1318.1,1293.8,1297.25,14962,13887600,323400,26-FEB-2024
TITAN,3685.05,3688.35,3609.45,3619.75,13360,5097750,-23450,26-FEB-2024
TORNTPHARM,2638.35,2653.1,2609.2,2621.7,2181,1586000,15000,26-FEB-2024
TRENT,3877.45,3920.0,3831.35,3850.45,3865,2860400,72400,26-FEB-2024
TVSMOTOR,2115.65,2165.8,2092.0,2160.4,9397,5094600,7000,26-FEB-2024
UBL,1711.65,1716.65,1695.25,1706.3,3920,2454000,-5600,26-FEB-2024
ULTRACEMCO,10024.9,10067.9,9916.75,9939.35,15308,1946400,8800,26-FEB-2024
UPL,488.75,494.25,487.2,490.7,19624,38753000,-2870400,26-FEB-2024
VEDL,267.3,268.65,263.8,265.45,37942,134529300,391000,26-FEB-2024
VOLTAS,1099.15,1103.9,1070.05,1099.4,13329,7905600,-264000,26-FEB-2024
WIPRO,532.55,534.4,525.45,532.1,26868,53580000,-1339500,26-FEB-2024
ZEEL,175.5,177.35,172.0,172.7,302,105537000,-906000,26-FEB-2024
ZYDUSLIFE,926.4,946.1,922.6,942.35,6530,7821900,378900,26-FEB-2024
